instance, time, ranking
pc_us.txt, 0.048, 1
ean.txt, 0.062, 2
iban.txt, 0.387, 3
grid.txt, 1.107, 4
pc_us2.txt, 1.466, 5
isbn10.txt, 29.031, 6
pc_lx2.txt, 37.724, 7
time2.txt, 63.313, 8
dec.txt, 75.583, 9
pc_al.txt, 94.818, 10
time1.txt, 95.318, 11
id_dk.txt, 98.187, 12
id2.txt, 113.267, 13
date2.txt, 116.023, 14
ein.txt, 121.074, 15
id_se.txt, 122.147, 16
pn_us.txt, 142.244, 17
ssn.txt, 151.102, 18
id_kr.txt, 164.561, 19
vr_no.txt, 180.29, 20
vr_es.txt, 184.271, 21
id_es.txt, 415.498, 22
domain.txt, 573.558, 23
cc.txt, 4000, 24
cc2.txt, 4000, 25
cc3.txt, 4000, 26
color2.txt, 4000, 27
date4.txt, 4000, 28
date5.txt, 4000, 29
date6.txt, 4000, 30
datetime.txt, 4000, 31
dollar.txt, 4000, 32
dollar2.txt, 4000, 33
email_simple.txt, 4000, 34
grid2.txt, 4000, 35
gstin.txt, 4000, 36
hexa.txt, 4000, 37
iban_pt.txt, 4000, 38
id_ch.txt, 4000, 39
id_cl.txt, 4000, 40
id_es2.txt, 4000, 41
id_fi.txt, 4000, 42
id_mx.txt, 4000, 43
id_pt.txt, 4000, 44
imei.txt, 4000, 45
imeisv.txt, 4000, 46
ipv4.txt, 4000, 47
ipv6.txt, 4000, 48
isbn.txt, 4000, 49
mac.txt, 4000, 50
pc_ca.txt, 4000, 51
pc_lx.txt, 4000, 52
pc_nl.txt, 4000, 53
pc_pt.txt, 4000, 54
pc_uk.txt, 4000, 55
signed.txt, 4000, 56
uuid.txt, 4000, 57
vr_dk.txt, 4000, 58
vr_fi.txt, 4000, 59
vr_it.txt, 4000, 60
vr_ke.txt, 4000, 61
vr_pt.txt, 4000, 62
vr_pt2.txt, 4000, 63
vr_uk.txt, 4000, 64
